"ID odgovora","Datum prosleđivanja","Poslednja strana","Početni jezik","Datum početka","Datum poslednje akcije","IP adresa","Molimo vas da označite svoj pol. []","Molimo Vas da označite svoju ulogu u današnjoj poseti veb-sajta Odseka. []","Koliko često posećujete veb-sajt Odseka za psihologiju? []","Koliko vremena provedete na veb-sajtu Odseka prilikom tipične posete? []","Kakav je vaš opšti utisak vezan za korišćenje veb-sajta Odseka za psihologiju? []","{if(is_empty(hidden), rand(1, 100), hidden)}","Molimo vas da ocenite različite aspekte korišćenja veb-sajta Odseka tako što ćete izraziti stepen slaganja sa nekoliko narednih tvrdnji.  Opšti izgled i dizajn veb-sajta je atraktivan []","Početna stranica veb-sajta mi daje jednosavan uvid u njegovu strukturu i logiku korišćenja. []","Uvek znam gde mogu da pronađem informaciju koju tražim. []","Bilo mi je lako da naučim kako da se krećem kroz veb-sajt. []","Informacije koje se nude na veb-sajtu su korisne, potpune i jasne. []","Jezik/terminologija koji se koristi u sadržaju su laki za čitanje i razumevanje. []","Opis ponuđen na stranicama izbornih kurseva mi je veoma koristan prilikom odabira predmeta. []","U odeljku Aktuelnosti i vesti pronalazim korisne informacije. []","Informacije koje se nude na veb-sajtu se redovno ažuriraju. []","Lako i brzo mogu da rezervišem termin za eksperimente. []","Mislim da budući studenti Odseka mogu lako da nauče kako da koriste veb-sajt. []","Zadovoljan sam brzinom učitavanja stranica veb-sajta. []","Veb-sajtu češće pristupam sa mobilnih uređaja nego sa računara. []","Molimo vas da ocenite različite aspekte korišćenja veb-sajta Odseka tako što ćete izraziti stepen slaganja sa nekoliko narednih tvrdnji.  Početna stranica veb-sajta mi daje jednosavan uvid u njegovu strukturu i logiku korišćenja. []","Mislim da budući studenti Odseka mogu lako da nauče kako da koriste veb-sajt. []","Bilo mi je lako da naučim kako da se krećem kroz veb-sajt. []","Opšti izgled i dizajn veb-sajta je atraktivan. []","Informacije koje se nude na veb-sajtu su korisne, potpune i jasne. []","Informacije koje se nude na veb-sajtu se redovno ažuriraju. []","Veb-sajtu češće pristupam sa mobilnih uređaja nego sa računara. []","Opis ponuđen na stranicama izbornih kurseva mi je veoma koristan prilikom odabira predmeta. []","Uvek znam gde mogu da pronađem informaciju koju tražim. []","U odeljku Aktuelnosti i vesti pronalazim korisne informacije. []","Lako i brzo mogu da rezervišem termin za eksperimente. []","Jezik/terminologija koji se koristi u sadržaju su laki za čitanje i razumevanje. []","Zadovoljan sam brzinom učitavanja stranica veb-sajta. []","Da li ste naišli na neki problem ili ste imali negativno iskustvo prilikom korišćenja veb-sajta? Ako jeste, koje?","Koju vrstu informacija bi, po vašem mišljenu, trebalo dodati na veb-sajt?","Da li imate neke konkretne sugestije za poboljšanje veb-sajta Odseka za psihologiju?","Da li ste naišli na neki problem ili ste imali negativno iskustvo prilikom korišćenja veb-sajta? Ako jeste, koje?","Koju vrstu informacija bi, po vašem mišljenu, trebalo dodati na veb-sajt?","Da li imate neke konkretne sugestije za poboljšanje veb-sajta Odseka za psihologiju?","Ukupno vreme","Vreme grupe: Molim Vas odgovorite na sledeća pitanja","Vreme pitanja: DemografskePol","Vreme pitanja: Demografske","Vreme pitanja: zaAnalytics1","Vreme pitanja: vreme","Vreme pitanja: zaAnalzticsMozda","Vreme pitanja: hidden","Vreme grupe: Molim Vas obeležite stepen slaganja na sledeća pitanja.","Vreme pitanja: b","Vreme pitanja: b2","Vreme pitanja: b3","Vreme pitanja: b4","Vreme pitanja: b5","Vreme pitanja: b6","Vreme pitanja: b7","Vreme pitanja: b8","Vreme pitanja: b9","Vreme pitanja: b10","Vreme pitanja: b11","Vreme pitanja: b12","Vreme pitanja: b13","Vreme grupe: Molim Vas obeležite stepen slaganja na sledeća pitanja.","Vreme pitanja: b2","Vreme pitanja: b11","Vreme pitanja: b4","Vreme pitanja: b","Vreme pitanja: b5","Vreme pitanja: b9","Vreme pitanja: b13","Vreme pitanja: b7","Vreme pitanja: b3","Vreme pitanja: b8","Vreme pitanja: b10","Vreme pitanja: b6","Vreme pitanja: b12","Vreme grupe: Molim Vas napišite Vaš odgovor na sledeća pitanja.","Vreme pitanja: textboxPrvi","Vreme pitanja: textboxDrugi","Vreme pitanja: textboxTreci","Vreme pitanja: textboxPrvimali","Vreme pitanja: textboxDrugimali","Vreme pitanja: textboxTrecimali"
"29","2019-08-01 09:10:22","38","sr-Latn","2019-08-01 09:08:14","2019-08-01 09:10:22","80.74.168.104","Muški","Student Odseka","Ovo mi je prvi put","Manje od 5 minuta","Neutralan","29","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Potpuno se slažem","Uglavnom se slažem","","","","","","","","","","","","","","","","","","O predavanjima i ostalim aktivnostima","","136.96","","6.24","5.67","13.01","5.12","7.02","","","11.72","5.63","5.74","5.37","3.23","2.81","4.38","3.92","5.32","3.16","4.51","4.17","5.22","","","","","","","","","","","","","","","","","","","7.87","21.29","5.56"
"30","2019-08-01 12:30:01","38","sr-Latn","2019-08-01 12:28:02","2019-08-01 12:30:01","109.245.79.132","Muški","Student Odseka","Ovo mi je prvi put","Između 5 i 15 minuta","Uglavnom negativan","22","Uglavnom se ne slažem","Potpuno se slažem","Uglavnom se slažem","Neodlučan/na sam","Uglavnom se slažem","Neodlučan/na sam","Neodlučan/na sam","Ugalvnom se ne slažem","Neodlučan/na sam","Neodlučan/na sam","Uglavnom se slažem","uglavnom se slažem","Uglavnom se slažem","","","","","","","","","","","","","","","","","","","","128.23","","2.24","5.92","8.83","7.06","4.21","","","12.99","5.52","4.52","4.49","5","4.78","8.85","11.67","6.52","4.22","5.05","2.6","5.31","","","","","","","","","","","","","","","","","","","7.05","3.93","7.47"
"31","2019-08-01 13:26:36","38","sr-Latn","2019-08-01 13:23:22","2019-08-01 13:26:36","178.222.136.129","Ženski","Student Odseka","Barem jednom nedeljno","Između 5 i 15 minuta","Veoma pozitivan","11","Potpuno se slažem","Potpuno se slažem","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Uglavnom se ne slažem","Neodlučan/na sam","Uglavnom se slažem","Neodlučan/na sam","Potpuno se slažem","Potpuno se slažem","Uglavnom se ne slažem","","","","","","","","","","","","","","","","","","","","205.93","","1.47","5.77","17.58","10.01","3.9","","","8.14","7.29","6.88","11.5","5.58","3.95","16.84","14.98","7.06","8.87","4.15","3.95","8.23","","","","","","","","","","","","","","","","","","","3.9","53.15","2.73"
"32","2019-08-01 13:44:39","38","sr-Latn","2019-08-01 13:41:29","2019-08-01 13:44:39","212.200.41.138","Ženski","Student Odseka","Barem jednom nedeljno","Između 5 i 15 minuta","Uglavnom pozitivan","99","","","","","","","","","","","","","","Uglavnom se slažem","Uglavnom se slažem","Potpuno se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","uglavnom se slažem","Нисам за сада.
","","","","","","200.91","","4.08","16.1","7.59","33.67","9.88","","","","","","","","","","","","","","","","","10.31","10","6.99","3.83","4.91","17.96","12.62","8.53","5.28","5.11","4.65","4.68","3.34","","22.74","5.98","2.66","","",""
"33","2019-08-01 16:45:33","38","sr-Latn","2019-08-01 16:42:36","2019-08-01 16:45:33","70.168.3.159","Ženski","Student Odseka","Barem jednom nedeljno","Manje od 5 minuta","Veoma pozitivan","63","","","","","","","","","","","","","","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Uglavnom se ne slažem","Uglavnom se ne slažem","Uglavnom se slažem","Uopšte se ne slažem","Neodlučan/na sam","Potpuno se slažem","Potpuno se slažem","","Raspored ispita bi bio pregledniji na sajtu odseka nego na sajtu FF","","","","","188.5","","11","7.07","6.61","6.73","7.53","","","","","","","","","","","","","","","","","9.65","4.76","4.68","4.66","3.52","6.17","6.34","8.18","6.18","9.91","9.48","5.05","3.61","","12.68","48.94","5.75","","",""
"34","2019-08-01 17:40:31","38","sr-Latn","2019-08-01 17:39:01","2019-08-01 17:40:31","93.87.103.214","Muški","Drugo","Nekoliko puta mesečno","Između 15 i 30 minuta","Veoma pozitivan","94","","","","","","","","","","","","","","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Neodlučan/na sam","Potpuno se slažem","Neodlučan/na sam","Neodlučan/na sam","Potpuno se slažem","Potpuno se slažem","","","","","","","101.67","","2.18","2.7","4.76","7.9","3.72","","","","","","","","","","","","","","","","","8.01","5.56","3.42","6.47","4.54","4.18","4.3","7.86","5.81","6.36","3.5","5.03","2.84","","4.77","3.83","3.93","","",""
"35","2019-08-01 18:06:47","38","sr-Latn","2019-08-01 18:05:17","2019-08-01 18:06:47","87.116.183.144","Muški","Budući student Odseka","Ovo mi je prvi put","Manje od 5 minuta","Uglavnom pozitivan","15","Uglavnom se slažem","Neodlučan/na sam","Uglavnom se ne slažem","Uglavanom se ne slažem","Neodlučan/na sam","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Neodlučan/na sam","Uglavnom se ne slažem","Uglavnom se slažem","uglavnom se slažem","Potpuno se slažem","","","","","","","","","","","","","","","","","","","","99.34","","1.96","3.34","3.85","3.24","4.31","","","8.08","6.21","4.26","3.77","5.06","3.84","7","4.45","5.69","5.53","6.72","2.86","7.7","","","","","","","","","","","","","","","","","","","9.18","0.83","1.46"
"36","","0","sr-Latn","2019-08-01 18:59:21","2019-08-01 18:59:23","212.200.65.176","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.82","","2.82","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37","2019-08-01 21:34:39","38","sr-Latn","2019-08-01 21:32:08","2019-08-01 21:34:39","188.120.117.85","Ženski","Student Odseka","Barem jednom nedeljno","Duže od 30 minuta","Veoma pozitivan","44","Neodlučan/na sam","Uglavnom se slažem","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Neodlučan/na sam","Potpuno se slažem","Potpuno se slažem","Neodlučan/na sam","Uglavnom se slažem","uglavnom se slažem","Nedolučan/na sam","","","","","","","","","","","","","","","","","Ne.
","","","162.98","","10.01","5.91","7.75","6.02","7.76","","","12.35","5.15","5.91","6.38","15.19","4.59","16.26","5.8","5.84","10.53","4.44","2.81","6.2","","","","","","","","","","","","","","","","","","","10.1","8.96","5.02"
"38","2019-08-01 23:18:33","38","sr-Latn","2019-08-01 23:16:59","2019-08-01 23:18:33","93.87.123.52","Ženski","Student Odseka","Barem jednom nedeljno","Između 5 i 15 minuta","Uglavnom pozitivan","81","","","","","","","","","","","","","","Neodlučan/na sam","Potpuno se slažem","Potpuno se slažem","Uglavnom se ne slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Neodlučan/na sam","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","","","","","","","104.61","","17.1","4.79","5.36","5","4.35","","","","","","","","","","","","","","","","","8.07","4.99","3.49","4.23","4.24","2.87","6.82","8.19","4.63","3.32","2.53","2.69","2.89","","4.11","2.72","2.22","","",""
"39","2019-08-02 23:56:29","38","sr-Latn","2019-08-02 23:53:20","2019-08-02 23:56:29","87.116.182.57","Muški","Student Odseka","Nekoliko puta u semestru","Manje od 5 minuta","Neutralan","56","","","","","","","","","","","","","","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Uglavnom se ne slažem","Uglavnom se slažem","Neodlučan/na sam","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Ugalvnom se ne slažem","Neodlučan/na sam","Potpuno se slažem","Potpuno se slažem","Ne.","Nastavne materijale za s v a k i predmet.","Redovnije ažuriranje.","","","","199.95","","2.84","8.38","11.28","23.56","8.22","","","","","","","","","","","","","","","","","11.05","4.73","3.24","8.1","7.55","3.83","7.33","12.17","4.04","4.72","6.96","2.92","3.83","","15.06","38.23","11.91","","",""
"40","2019-08-03 00:41:16","38","sr-Latn","2019-08-03 00:38:42","2019-08-03 00:41:16","109.93.234.6","Ženski","Student Odseka","Barem jednom nedeljno","Između 5 i 15 minuta","Neutralan","14","Uglavnom se ne slažem","Uglavnom se ne slažem","Uglavnom se slažem","Uglavnom se slažem","Neodlučan/na sam","Uglavnom se slažem","Uglavnom se ne slažem","Ugalvnom se ne slažem","Uglavnom se ne slažem","Uglavnom se ne slažem","Uglavnom se slažem","Uglavnom se ne slažem","Uglavnom se ne slažem","","","","","","","","","","","","","","","","","","","","163.94","","4.15","10.92","17.29","15.08","17.09","","","8.82","6.06","5.5","9.9","6.5","7.43","8.76","4.46","3.81","8.66","6.89","6.32","6.09","","","","","","","","","","","","","","","","","","","5","2.53","2.68"
"41","2019-08-03 21:26:07","38","sr-Latn","2019-08-03 21:18:06","2019-08-03 21:26:07","46.188.159.61","Ženski","Student Odseka","Barem jednom nedeljno","Manje od 5 minuta","Uglavnom pozitivan","100","","","","","","","","","","","","","","Uglavnom se slažem","Potpuno se slažem","Uglavnom se slažem","Neodlučan/na sam","Neodlučan/na sam","Uglavnom se slažem","Uglavnom se slažem","Uopšte se ne slažem","Uglavnom se slažem","Neodlučan/na sam","Potpuno se slažem","Uglavnom se slažem","uglavnom se slažem","","Cini mi se da nisu ispracena sva gostujuca predavanja","","","","","493.21","","6.84","20.14","13.42","18.64","21.21","","","","","","","","","","","","","","","","","11.89","6.36","5.71","17.35","28.74","32.86","6.32","12.5","5.42","26.11","5.28","4.5","5.54","","7.47","230.37","6.54","","",""
"42","","28","sr-Latn","2019-08-04 10:38:15","2019-08-04 10:40:23","31.223.131.95","Ženski","Student Odseka","Barem jednom nedeljno","Između 5 i 15 minuta","Uglavnom pozitivan","70","","","","","","","","","","","","","","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Nedolučan/na sam","Uglavnom se slažem","Potpuno se slažem","","","","","","","","","","","100.66","","10.05","3.9","7.56","4.94","6.36","","","","","","","","","","","","","","","","","9.22","5.18","10.86","5.38","4.95","4.62","5.93","8.19","9.03","4.49","","","","","","","","","",""
"43","2019-08-04 16:27:18","38","sr-Latn","2019-08-04 16:16:27","2019-08-04 16:27:18","188.2.27.142","Ženski","Student Odseka","Barem jednom nedeljno","Između 5 i 15 minuta","Uglavnom pozitivan","78","","","","","","","","","","","","","","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Potpuno se slažem","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Ne da se secam","Mozda bi bilo dobro kada bi se vise pisalo o mogucnostima za volontiranje, prakse, ucesce na konferencijama i drugim mogucnostima za usavrsavanje studenata, a da ima veze sa strukom","Trebalo bi voditi racuna o tome da li su ponudjeni svi izborni predmeti, kao i da se oni koji se vise ne drze izbace sa spiska, kako se ne bi unosila konfuzija. Mozda bi bilo korisno odvojiti informacije za studente psihologe od informacija za nepsihologe, jer se trenutno prva strana zatrpava velikim brojem fajlova namenjenim njima. ","","","","662.83","","3.48","5.04","11.23","12.87","4.09","","","","","","","","","","","","","","","","","6.85","6.36","2.29","2.11","6.54","7.11","3.54","8.66","3.2","2.6","4.01","2.61","2.49","","58.21","275.53","234.01","","",""
"44","2019-08-04 16:42:50","38","sr-Latn","2019-08-04 16:40:05","2019-08-04 16:42:50","91.128.46.236","Ženski","Student Odseka","Barem jednom nedeljno","Manje od 5 minuta","Uglavnom pozitivan","88","","","","","","","","","","","","","","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Uglavnom se slažem","Potpuno se slažem","Uglavnom se slažem","Potpuno se slažem","Neodlučan/na sam","Uglavnom se slažem","Neodlučan/na sam","Potpuno se slažem","Potpuno se slažem","uglavnom se slažem","","Obaveštenja o dešavanjima vezanim za razlčičite aktivnosti koje mogu biti zanimljive i korisne studentima","","","","","173.58","","3.59","6.05","7.67","6.1","4.33","","","","","","","","","","","","","","","","","7.34","4.33","3.24","3.47","4.57","4.08","5.58","6.64","4.35","4.32","3.61","28.08","2.83","","5.2","54.46","3.74","","",""
"45","2019-08-05 08:51:13","38","sr-Latn","2019-08-05 08:47:22","2019-08-05 08:51:13","109.245.227.198","Ženski","Student Odseka","Barem jednom nedeljno","Manje od 5 minuta","Neutralan","42","Neodlučan/na sam","Uopšte se ne slažem","Uglavnom se ne slažem","Uglavanom se ne slažem","Neodlučan/na sam","Uglavnom se slažem","Uglavnom se slažem","Ugalvnom se ne slažem","Uopšte se ne slažem","Uglavnom se ne slažem","Uglavnom se slažem","uglavnom se slažem","Uglavnom se slažem","","","","","","","","","","","","","","","","","","","","243.43","","13.71","8.96","16.28","10.52","10.99","","","17.4","11.55","6.17","7.77","22.9","9.94","26.26","7.47","4.68","21.46","7.24","7.66","10.87","","","","","","","","","","","","","","","","","","","11.8","5.5","4.3"
"46","2019-08-05 18:06:49","38","sr-Latn","2019-08-05 18:04:46","2019-08-05 18:06:49","109.93.164.186","Muški","Student Odseka","Nekoliko puta mesečno","Manje od 5 minuta","Uglavnom pozitivan","92","","","","","","","","","","","","","","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uopšte se ne slažem","Uglavnom se slažem","Uglavnom se slažem","Neodlučan/na sam","Uglavnom se slažem","Uglavnom se slažem","uglavnom se slažem","","Radove profesora","","","","","135.15","","2.85","6.69","4.62","3.59","6.66","","","","","","","","","","","","","","","","","10.8","5.66","15.8","5.88","4.7","4.38","5.18","5.96","4.07","4.51","6.01","6.86","3.87","","6.77","14.41","5.88","","",""
"47","2019-08-05 22:51:09","38","sr-Latn","2019-08-05 22:49:29","2019-08-05 22:51:09","109.245.159.181","Ženski","Student Odseka","Barem jednom nedeljno","Između 5 i 15 minuta","Veoma pozitivan","86","","","","","","","","","","","","","","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Potpuno se slažem","Neodlučan/na sam","Uglavnom se slažem","Ugalvnom se ne slažem","Uglavnom se slažem","Potpuno se slažem","uglavnom se slažem","","","","","","","109.02","","1.99","2.4","6.18","9.14","7.14","","","","","","","","","","","","","","","","","8.36","5.39","3.91","3.8","4.73","4.24","3.45","7.06","3.53","5.6","5.37","3.91","4.26","","6.83","5.1","6.63","","",""
"48","2019-08-06 08:39:01","38","sr-Latn","2019-08-06 08:36:36","2019-08-06 08:39:01","82.117.210.86","Muški","Student Odseka","Nekoliko puta mesečno","Između 5 i 15 minuta","Uglavnom pozitivan","90","","","","","","","","","","","","","","Uglavnom se slažem","Potpuno se slažem","Uglavnom se slažem","Uglavnom se slažem","Potpuno se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se ne slažem","Uglavnom se slažem","uglavnom se slažem","","","","","","","156.67","","2.49","4.78","6.14","5.95","6.53","","","","","","","","","","","","","","","","","30.69","5.64","5.31","9.06","3.83","4.86","6.21","17.95","17.47","6.23","4.84","3.52","3.96","","3.95","3.66","3.6","","",""
"49","2019-08-06 09:25:36","38","sr-Latn","2019-08-06 09:20:49","2019-08-06 09:25:36","178.221.16.119","Ženski","Student Odseka","Nekoliko puta mesečno","Između 5 i 15 minuta","Uglavnom pozitivan","63","","","","","","","","","","","","","","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Potpuno se slažem","Neodlučan/na sam","Uopšte se ne slažem","Uglavnom se slažem","Neodlučan/na sam","Potpuno se slažem","uglavnom se slažem","Ne. ","Obaveštenje da se ispiti ne mogu otkazati ako su prijavljeni, iako postoji ta opcija. ","Ne.","","","","297.26","","10.32","6.64","8.99","89.77","6.26","","","","","","","","","","","","","","","","","8.26","12.47","3.39","3.82","7.84","3.56","6.06","4.33","4.34","3.79","5.49","4.6","3.08","","27.95","70.02","6.28","","",""
"50","2019-08-06 09:24:03","38","sr-Latn","2019-08-06 09:21:20","2019-08-06 09:24:03","176.63.23.254","Ženski","Drugo","Barem jednom nedeljno","Između 5 i 15 minuta","Uglavnom pozitivan","85","","","","","","","","","","","","","","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Uglavnom se slažem","Potpuno se slažem","Uglavnom se slažem","Uglavnom se ne slažem","Uglavnom se slažem","Potpuno se slažem","Uglavnom se slažem","Uglavnom se slažem","Potpuno se slažem","uglavnom se slažem","Ne","","","","","","174.21","","12.34","15.33","9.05","6.52","7.83","","","","","","","","","","","","","","","","","15.21","4.92","5.79","6.23","4.84","7.72","9.81","6.37","4.89","5.64","6.69","4.44","5.72","","13.58","17.13","4.16","","",""
"51","","26","sr-Latn","2019-08-06 09:28:48","2019-08-06 09:30:06","109.233.191.240","Ženski","Student Odseka","Nekoliko puta u semestru","Manje od 5 minuta","Neutralan","52","","","","","","","","","","","","","","Uglavnom se slažem","Potpuno se slažem","Uglavnom se slažem","Neodlučan/na sam","Uglavnom se slažem","Uglavnom se ne slažem","Uglavnom se slažem","","","","","","","","","","","","","84.26","","2.91","5.64","13.3","3.6","8.47","","","","","","","","","","","","","","","","","10.07","5.53","4.57","13.13","5.52","5.51","6.01","","","","","","","","","","","","",""
"52","2019-08-06 09:53:45","38","sr-Latn","2019-08-06 09:51:02","2019-08-06 09:53:45","93.86.172.22","Ženski","Student Odseka","Nekoliko puta u semestru","Između 5 i 15 minuta","Neutralan","93","","","","","","","","","","","","","","Uglavnom se ne slažem","Uglavnom se ne slažem","Neodlučan/na sam","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Potpuno se slažem","Uglavnom se slažem","Uglavnom se ne slažem","Neodlučan/na sam","Neodlučan/na sam","Uglavnom se slažem","uglavnom se slažem","","","","","","","174.97","","1.92","4.76","5.62","5.85","10.94","","","","","","","","","","","","","","","","","11.89","6.48","4.77","9.25","4.65","3.89","3.94","7.17","4.05","3.8","4.97","4.53","3.72","","4.5","64.19","4.08","","",""
"53","2019-08-06 09:59:23","38","sr-Latn","2019-08-06 09:56:58","2019-08-06 09:59:23","212.200.102.25","Ženski","Student Odseka","Nekoliko puta mesečno","Između 5 i 15 minuta","Uglavnom pozitivan","84","","","","","","","","","","","","","","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Neodlučan/na sam","Uglavnom se slažem","Neodlučan/na sam","Potpuno se slažem","Uglavnom se ne slažem","Uglavnom se slažem","Ugalvnom se ne slažem","Uglavnom se slažem","Uglavnom se slažem","uglavnom se slažem","","","","","","","154.2","","7.44","5.24","9.46","19.08","7.01","","","","","","","","","","","","","","","","","8.62","6.62","5.96","6.43","5.19","7.56","5.16","7.34","13.6","4.7","8.31","5.56","4.7","","8.59","3.99","3.64","","",""
"54","2019-08-06 10:04:19","38","sr-Latn","2019-08-06 10:02:30","2019-08-06 10:04:19","188.2.130.180","Ženski","Student Odseka","Nekoliko puta u semestru","Između 5 i 15 minuta","Veoma pozitivan","20","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Uopšte se ne slažem","","","","","","","","","","","","","","","","","","","","120.32","","7.37","9.54","14.52","8.91","5.91","","","12.45","5.02","2.94","4.6","5.36","4.32","5.94","4.21","3.5","4.04","4.97","2.24","4.37","","","","","","","","","","","","","","","","","","","3.21","4.21","2.69"
"55","2019-08-06 10:22:50","38","sr-Latn","2019-08-06 10:20:00","2019-08-06 10:22:50","178.223.1.66","Ženski","Student Odseka","Barem jednom nedeljno","Manje od 5 minuta","Uglavnom pozitivan","30","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Potpuno se slažem","Uglavnom se slažem","Neodlučan/na sam","Potpuno se slažem","Potpuno se slažem","Uglavnom se slažem","Potpuno se slažem","uglavnom se slažem","Uglavnom se ne slažem","","","","","","","","","","","","","","","","","","","","180.64","","7.34","6.42","5.07","15.97","5.83","","","12.3","4.23","8.88","8.6","6.99","5.35","9.18","3.86","4.62","6.65","6.18","3.63","6.37","","","","","","","","","","","","","","","","","","","7.63","39.95","5.59"
